iter	Passed	Remaining
0	148	148257
1	149	74421
2	149	49782
3	150	37497
4	151	30090
5	151	25153
6	152	21624
7	153	18978
8	153	16923
9	154	15271
10	154	13919
11	155	12796
12	155	11843
13	156	11025
14	157	10316
15	157	9700
16	158	9158
17	158	8670
18	159	8234
19	160	7845
20	160	7491
21	161	7171
22	161	6879
23	162	6610
24	163	6362
25	163	6133
26	164	5920
27	164	5724
28	165	5541
29	166	5370
30	166	5209
31	167	5057
32	167	4916
33	168	4784
34	169	4659
35	169	4541
36	170	4431
37	170	4327
38	171	4227
39	172	4133
40	172	4043
41	173	3956
42	174	3873
43	174	3794
44	175	3717
45	175	3646
46	176	3576
47	176	3510
48	177	3446
49	178	3385
50	178	3326
51	179	3269
52	180	3216
53	180	3163
54	181	3112
55	181	3063
56	182	3016
57	183	2972
58	183	2928
59	184	2885
60	184	2844
61	185	2804
62	185	2766
63	186	2729
64	187	2694
65	188	2662
66	188	2628
67	189	2594
68	189	2562
69	190	2530
70	191	2500
71	191	2470
72	192	2441
73	192	2413
74	193	2385
75	193	2358
76	194	2331
77	195	2306
78	195	2280
79	196	2255
80	196	2232
81	197	2208
82	197	2183
83	198	2161
84	198	2140
85	199	2119
86	199	2098
87	200	2078
88	201	2059
89	201	2040
90	202	2021
91	203	2003
92	203	1986
93	204	1968
94	204	1950
95	205	1933
96	205	1916
97	206	1900
98	207	1884
99	207	1868
100	208	1853
101	208	1838
102	209	1824
103	210	1810
104	210	1795
105	211	1781
106	211	1768
107	212	1755
108	213	1742
109	213	1729
110	214	1717
111	215	1705
112	215	1693
113	216	1682
114	217	1670
115	217	1659
116	218	1646
117	218	1634
118	219	1623
119	219	1612
120	220	1601
121	220	1589
122	221	1579
123	222	1569
124	222	1559
125	223	1549
126	223	1538
127	224	1529
128	225	1519
129	225	1510
130	226	1501
131	226	1492
132	227	1483
133	228	1474
134	228	1466
135	229	1457
136	230	1449
137	230	1440
138	231	1432
139	231	1423
140	232	1416
141	232	1406
142	233	1399
143	234	1391
144	234	1383
145	235	1376
146	235	1369
147	236	1361
148	237	1353
149	237	1346
150	238	1339
151	238	1332
152	239	1325
153	239	1318
154	240	1311
155	241	1304
156	241	1298
157	242	1291
158	243	1285
159	243	1279
160	244	1272
161	244	1266
162	245	1260
163	246	1254
164	246	1248
165	247	1242
166	247	1236
167	248	1230
168	249	1224
169	249	1218
170	250	1213
171	250	1207
172	251	1202
173	252	1196
174	252	1191
175	253	1186
176	253	1180
177	254	1175
178	255	1169
179	255	1164
180	256	1159
181	256	1154
182	257	1149
183	258	1145
184	258	1140
185	259	1135
186	260	1130
187	260	1125
188	261	1120
189	261	1116
190	262	1111
191	262	1106
192	263	1101
193	263	1096
194	264	1092
195	265	1087
196	265	1083
197	266	1078
198	266	1074
199	267	1070
200	268	1066
201	268	1062
202	269	1058
203	270	1053
204	270	1049
205	271	1045
206	271	1041
207	272	1037
208	273	1033
209	273	1029
210	274	1025
211	274	1021
212	275	1018
213	276	1014
214	276	1010
215	277	1006
216	277	1002
217	278	998
218	278	994
219	279	991
220	280	987
221	280	984
222	281	980
223	281	976
224	282	973
225	283	969
226	283	966
227	284	963
228	285	959
229	285	956
230	286	952
231	286	949
232	287	946
233	288	942
234	288	939
235	289	935
236	289	932
237	290	929
238	290	926
239	291	922
240	292	919
241	292	916
242	293	913
243	293	910
244	294	907
245	294	903
246	295	900
247	296	897
248	296	894
249	297	891
250	297	889
251	298	886
252	299	883
253	299	880
254	300	877
